,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
408,2021-07-20 16:00,King,Tu Aake Dekhle,31624,King:Tu Aake Dekhle,0,,
409,2021-07-20 16:01,King,Casanova,10992,King:Casanova,0,,
410,2021-07-20 16:05,Yo Yo Honey Singh,Dope Shope,4130,Yo Yo Honey Singh:Dope Shope,0,,
411,2021-07-20 16:05,Yo Yo Honey Singh,Angreji Beat,32251,Yo Yo Honey Singh:Angreji Beat,0,,
412,2021-07-21 07:36,Drake,God's Plan,198973,Drake:God's Plan,1,Scorpion,6DCZcSspjsKoFjzjrWoCdn
413,2021-07-21 07:39,Drake,God's Plan,145971,Drake:God's Plan,1,Scorpion,6DCZcSspjsKoFjzjrWoCdn
414,2021-07-21 20:08,King,Tu Aake Dekhle,8740,King:Tu Aake Dekhle,0,,
415,2021-07-21 20:09,KR$NA,Living Legend,1610,KR$NA:Living Legend,0,,
416,2021-07-21 20:09,KR$NA,Roll Up,6050,KR$NA:Roll Up,1,Roll Up,2HBnruSUjUJhqNePQXObRK
417,2021-07-21 20:09,Sonu Nigam,Sandese Aate Hai,7430,Sonu Nigam:Sandese Aate Hai,0,,
418,2021-07-24 10:04,Atif Aslam,Woh Lamhe Woh Baatein,5470,Atif Aslam:Woh Lamhe Woh Baatein,0,,
419,2021-07-24 10:04,Kuxh Beats,Woh Lamhe Lo-Fi Mix,4340,Kuxh Beats:Woh Lamhe Lo-Fi Mix,0,,
420,2021-07-24 10:08,Atif Aslam,Woh Lamhe Woh Baatein,236475,Atif Aslam:Woh Lamhe Woh Baatein,0,,
421,2021-07-24 10:08,Pritam,Ye Tune Kya Kiya,21920,Pritam:Ye Tune Kya Kiya,0,,
422,2021-07-24 13:08,Drake,God's Plan,213757,Drake:God's Plan,1,Scorpion,6DCZcSspjsKoFjzjrWoCdn
423,2021-07-24 13:11,The PropheC,Vibe,4024,The PropheC:Vibe,0,,
424,2021-07-24 13:11,King,Tu Aake Dekhle,86984,King:Tu Aake Dekhle,0,,
425,2021-07-24 13:17,KR$NA,Living Legend,373034,KR$NA:Living Legend,0,,
426,2021-07-24 13:35,KR$NA,Say My Name,83320,KR$NA:Say My Name,0,,
427,2021-07-27 13:44,Pritam,Ye Tune Kya Kiya,5210,Pritam:Ye Tune Kya Kiya,0,,
428,2021-07-27 13:45,Vilen,Ek Raat,7860,Vilen:Ek Raat,0,,
429,2021-07-30 16:21,Jass Manak,No Competition,205500,Jass Manak:No Competition,1,No Competition,4AVe62GFbb3ffKXjUSpiuv
430,2021-07-30 16:40,Jass Manak,No Competition,177000,Jass Manak:No Competition,1,No Competition,4AVe62GFbb3ffKXjUSpiuv
431,2021-07-31 18:39,DIVINE,Mirchi,1630,DIVINE:Mirchi,0,,
432,2021-07-31 18:39,Ajey Nagar (CarryMinati),Yalgaar,32510,Ajey Nagar (CarryMinati):Yalgaar,0,,
433,2021-08-01 10:02,Drake,God's Plan,147920,Drake:God's Plan,1,Scorpion,6DCZcSspjsKoFjzjrWoCdn
434,2021-08-01 10:02,Arijit Singh,Uska Hi Banana,5186,Arijit Singh:Uska Hi Banana,0,,
435,2021-08-01 10:05,King,Tu Aake Dekhle,169836,King:Tu Aake Dekhle,0,,
436,2021-08-01 10:17,King,Tum Saath Rehnaa,100320,King:Tum Saath Rehnaa,0,,
437,2021-08-06 13:31,Amrinder Gill,Asi Gabru Punjabi,228453,Amrinder Gill:Asi Gabru Punjabi,0,,
438,2021-08-06 13:36,Dr Zeus,Mera Deewanapan,242573,Dr Zeus:Mera Deewanapan,0,,
439,2021-08-06 13:44,Amrinder Gill,Dildarian,247586,Amrinder Gill:Dildarian,0,,
440,2021-08-06 13:57,Amrinder Gill,Sochan Vich Tu,59111,Amrinder Gill:Sochan Vich Tu,0,,
441,2021-08-07 05:54,Amrinder Gill,Asi Gabru Punjabi,428353,Amrinder Gill:Asi Gabru Punjabi,0,,
442,2021-08-07 05:54,Amrinder Gill,Asi Gabru Punjabi,9764,Amrinder Gill:Asi Gabru Punjabi,0,,
443,2021-08-07 05:57,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
444,2021-08-07 06:00,Maninder Buttar,Sakhiyaan,179325,Maninder Buttar:Sakhiyaan,0,,
445,2021-08-07 06:01,Bohemia,Ek Din,67469,Bohemia:Ek Din,0,,
446,2021-08-08 06:24,Pritam,Kya Mujhe Pyar Hai (Remix),44940,Pritam:Kya Mujhe Pyar Hai (Remix),0,,
447,2021-08-13 17:21,KR$NA,Untitled,2230,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
448,2021-08-13 17:21,Diljit Dosanjh,Born to Shine,12500,Diljit Dosanjh:Born to Shine,0,,
449,2021-08-14 08:08,Diljit Dosanjh,Born to Shine,97970,Diljit Dosanjh:Born to Shine,0,,
450,2021-08-14 08:11,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
451,2021-08-14 08:11,Maninder Buttar,Sakhiyaan,22195,Maninder Buttar:Sakhiyaan,0,,
452,2021-08-14 12:31,Bohemia,Same Beef,52920,Bohemia:Same Beef,0,,
453,2021-08-21 07:02,Bohemia,Same Beef,133496,Bohemia:Same Beef,0,,
454,2021-08-21 07:07,Vishal Dadlani,"Mar Jayian Romantic (From ""Vicky Donor"")",282288,"Vishal Dadlani:Mar Jayian Romantic (From ""Vicky Donor"")",1,Vicky Donor,73yIZXOY6Th386dlZTZLju
455,2021-08-21 07:21,Vishal Dadlani,"Mar Jayian Romantic (From ""Vicky Donor"")",181320,"Vishal Dadlani:Mar Jayian Romantic (From ""Vicky Donor"")",1,Vicky Donor,73yIZXOY6Th386dlZTZLju
456,2021-08-26 15:51,Bo Burnham,Bezos I,19614,Bo Burnham:Bezos I,1,Inside (The Songs),0Kdj7nwaYQmvhxnqZaIQuW
457,2021-08-27 04:52,Bo Burnham,Bezos I,53757,Bo Burnham:Bezos I,1,Inside (The Songs),0Kdj7nwaYQmvhxnqZaIQuW
458,2021-08-27 04:53,Bo Burnham,Bezos I,58149,Bo Burnham:Bezos I,1,Inside (The Songs),0Kdj7nwaYQmvhxnqZaIQuW
459,2021-08-27 05:22,Bo Burnham,Bezos I,16853,Bo Burnham:Bezos I,1,Inside (The Songs),0Kdj7nwaYQmvhxnqZaIQuW
460,2021-09-11 19:45,Slay,Polozhenies - Remix,23900,Slay:Polozhenies - Remix,0,,
461,2021-09-11 19:45,Scriptonite,Polozhenie - Izzamuzzic Remix,8830,Scriptonite:Polozhenie - Izzamuzzic Remix,0,,
